Nom,Ville,Email,Téléphone,Site Web,Adresse,Formations
"Faculté de médecine Lyon-Sud - Charles Mérieux, Université Claude Bernard - Lyon 1",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de médecine Henri Warembourg université de Lille 2, Université de Lille 2",Lille,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de médecine Pierre et Marie Curie - Site Pitié-Salpêtrière, Université Pierre et Marie Curie - UPMC",Paris,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de médecine Lyon-Est - Claude Bernard, Université Claude Bernard - Lyon 1",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de médecine Jacques Lisfranc, Université Jean Monnet de Saint-Etienne",Saint-Étienne,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de lettres et langues, Université catholique de Lyon",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"GHHAT - Faculté de géographie, histoire, histoire de l'art et tourisme, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de géographie et d'aménagement, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit - site de Valence, Université Grenoble Alpes",Valence,Non trouvé,Non trouvé,Non trouvé,,
"GHHAT - Faculté de géographie, histoire, histoire de l'art et tourisme, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
Faculté de droit - Université Grenoble Alpes (COMUE),Saint-Martin-d'Hères,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de lettres langues et sciences humaines, Université d'Orléans",Orléans,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de langues et cultures étrangères, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de mathématiques, Université Pierre et Marie Curie - UPMC",Paris,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit et science politique, Université Toulouse I Capitole",Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit et de sciences politiques, Université de Nice - Sophia Antipolis",Nice,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit et des sciences économiques - site de Limoges, Université de Limoges",Limoges,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit, Institut catholique de Lyon",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"UFR Droit, sciences économique et politique - antenne de Nevers, université de Bourgogne",Nevers,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit et science politique, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"UFR de droit, Université Jean Monnet Saint-Etienne",Saint-Étienne,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit, Université Jean Moulin - Lyon 3",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit et de science politique, Université Rennes 1",Rennes,Non trouvé,Non trouvé,Non trouvé,,
"UFR Droit et de science politique, Université d'Aix-Marseille",Aix-en-Provence,Non trouvé,Non trouvé,Non trouvé,,
"UFR de droit et de science politique, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit de sciences politiques et de gestion, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
Faculté libre de droit de l'Institut Catholique de Toulouse,Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit et de science politique - Antenne de Saint Brieuc, Université Rennes 1",Saint-Brieuc,Non trouvé,Non trouvé,Non trouvé,,
"UFR Collegium droit, économie, gestion - Université d'Orléans",Orléans,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit, de sciences économiques et de gestion, Université Bretagne Sud",Rennes,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit canonique, Institut catholique de Paris",Paris,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de chirurgie dentaire, Université Rennes 1",Rennes,Non trouvé,Non trouvé,Non trouvé,,
"FDEG - Faculté de droit, d'économie et de gestion, Université de Valenciennes",Valenciennes,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de chimie, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit et de science politique, Université de Versailles Saint-Quentin-en-Yvelines",Guyancourt,Non trouvé,Non trouvé,Non trouvé,,
"Faculté d'administration et de communication, Université Toulouse I Capitole",Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de chirurgie dentaire, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'économie et de gestion, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de chirurgie dentaire université de Lille 2, Université de Lille 2",Lille,Non trouvé,Non trouvé,Non trouvé,,
"UFR anthropologie, sociologie, science politique, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté d'arts, lettres et langues, Université Jean Monnet de Saint-Etienne",Saint-Étienne,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de chirurgie dentaire, Université Toulouse III",Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"EURIA - Euro-institut d'actuariat, Université de Bretagne Occidentale",Quimper,Non trouvé,Non trouvé,Non trouvé,,
"ERUDI - ERUDI - Etudes et ressources universitaires à distance, Nancy-Université - Nancy 2",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"Ensemble universitaire de Gavy - antenne universitaire Nantes, Université de Nantes",Nantes,Non trouvé,Non trouvé,Non trouvé,,
"ESIT - Ecole supérieure d'interprètes et de traducteurs, Université de la Sorbonne Nouvelle",Paris,Non trouvé,Non trouvé,Non trouvé,,
"ESAV - Ecole supérieure d'audiovisuel, Université Toulouse II",Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"Université de la mode, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
Université Paris Ouest Nanterre La Défense - UFR Systèmes Industriels et Techniques de Communication,Nanterre,Non trouvé,Non trouvé,Non trouvé,,
"UFR STHI - département STAPS Font-Romeu, Université de Perpignan Via Domitia",Perpignan,Non trouvé,Non trouvé,Non trouvé,,
"UFR Terre, environnement, biodiversité, Université Pierre et Marie Curie - UPMC",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR STHI - département de Mende : tourisme et multimédia, Université de Perpignan Via Domitia",Mende,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 12 Travail et études sociales AES et droit social,Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR TES - UFR Territoires, environnements, sociétés, Université Vincennes-Saint-Denis",Bobigny,Non trouvé,Non trouvé,Non trouvé,,
Université Paris Ouest Nanterre La Défense - Systèmes Industriels et Techniques de Communication,Nanterre,Non trouvé,Non trouvé,Non trouvé,,
"UFR sciences vie, terre et environnement, Université de Bourgogne",Dijon,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS, Université Paris-Sud 11",Évry-Courcouronnes,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences sociales, Université Rennes 2",Rennes,Non trouvé,Non trouvé,Non trouvé,,
UFR STAPS - Université Montpellier,Montpellier,Non trouvé,Non trouvé,Non trouvé,,
"STAPS - UFR sport et éducation physique, Université de Bretagne Occidentale",Quimper,Non trouvé,Non trouvé,Non trouvé,,
"UFR sciences techniques et gestion de l'industrie, site de Montbeliard, Université de Franche-Comté",Besançon,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS - UFR STAPS Faculté des sciences du sport, Université de Bourgogne",Dijon,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences sociales, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
UFR Sciences sociales (site de Saint-Brieuc) - Université Rennes 2,Saint-Brieuc,Non trouvé,Non trouvé,Non trouvé,,
"UFR sciences pharmaceutiques et biologiques, Nancy-Université - Université Henri Poincaré",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences Pharmaceutiques et Biologiques - Faculté de pharmacie, Université Paris Descartes",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR sciences médicales, Université Bordeaux II",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences humaines, Université Rennes 2",Rennes,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences médicales, Nancy-Université - Université Henri Poincaré",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences Humaines et Sociales, Université Paris Descartes",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Arts, lettres, langues Metz, Université de Lorraine",Metz,Non trouvé,Non trouvé,Non trouvé,,
"SciFA - UFR Sciences fondamentales et appliquées, Université Paul Verlaine de Metz",Metz,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS - UFR sciences et techniques des activités physiques et sportives, Université de Nantes",Nantes,Non trouvé,Non trouvé,Non trouvé,,
"UFR sciences et techniques, Université Pau et Pays de l'Adour",Pau,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS - UFR sciences et techniques des activités physiques et sportives STAPS, Université Toulouse III",Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS - UFR sciences et techniques des activités physiques et sportives STAPS, Université de Nice - Sophia Antipolis",Nice,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS - UFR sciences et techniques des activités physiques et sportives STAPS, Université de Franche-Comté",Besançon,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS - UFR sciences et techniques des activités physiques et sportives, Université de Reims Champagne-Ardenne",Reims,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences humaines cliniques, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR sciences historiques et géographiques, musicologie, Nancy-Université - Nancy 2",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences et technologie, Université Paris-Est Créteil Val-de-Marne",Créteil,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS (Sciences et Techniques des Activités Physiques et Sportives), Université Paris Descartes",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS - UFR sciences et techniques des activités physiques et sportives STAPS, Université Paris-Est Marne-La-Vallée",Melun,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS - UFR sciences et techniques des activités physiques et sportives STAPS, Université du Sud Toulon - Var",Toulon,Non trouvé,Non trouvé,Non trouvé,,
"SCIMS - UFR sciences et modélisation, Université Bordeaux II",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS - UFR sciences et techniques des activités physiques et sportives STAPS, Université de Caen Basse-Normandie",Caen,Non trouvé,Non trouvé,Non trouvé,,
"UFR sciences des territoires et de la communication, Université Bordeaux III",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR sciences du langage, Nancy-Université - Nancy 2",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences de l'information et de la communication - Institut Ingémédia, Université du Sud Toulon - Var",Toulon,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences de l'éducation, psychanalyse et FLE, Université Vincennes-Saint-Denis",Saint-Denis,Non trouvé,Non trouvé,Non trouvé,,
"UFR SVE - UFR sciences de la vie et de l'environnement, Université Rennes 1",Rennes,Non trouvé,Non trouvé,Non trouvé,,
"UFR sciences et techniques antenne d'Auxerre, Université de Bourgogne",Auxerre,Non trouvé,Non trouvé,Non trouvé,,
"UFR sciences et techniques de la côte basque, Université Pau et Pays de l'Adour",Pau,Non trouvé,Non trouvé,Non trouvé,,
"UFR sciences et techniques des activites physiques et sportives, Université Clermont-Ferrand II",Clermont-Ferrand,Non trouvé,Non trouvé,Non trouvé,,
Université Paris Ouest Nanterre La Défense - UFR Sciences et Techniques des Activités Physiques et Sportives,Nanterre,Non trouvé,Non trouvé,Non trouvé,,
"UFR SDL - UFR Sciences du langage, Université Vincennes-Saint-Denis",Bobigny,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences du vivant, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences de l'éducation , sciences sociales, sciences et techniques des activités sportives, Université Paris-Est Créteil Val-de-Marne",Créteil,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences de la Terre, de l'environnement et des planètes, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Psychologie - Institut de psychologie, Université Paris Descartes",Nanterre,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 11 Science politique,Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR pluridisciplinaire de Bayonne Anglet Biarritz, Université Pau et Pays de l'Adour",Pau,Non trouvé,Non trouvé,Non trouvé,,
"UFR Physique, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 10 Philosophie,Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Philosophie et sociologie, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Pharmacie - Faculté de pharmacie, Université Paris-Sud 11",Nanterre,Non trouvé,Non trouvé,Non trouvé,,
Université de Versailles Saint-Quentin-en-Yvelines - UFR des Sciences de la santé Simone Veil,Versailles,Non trouvé,Non trouvé,Non trouvé,,
"UFR PPCS - UFR Psychologie, pratiques cliniques et sociales, Université Vincennes-Saint-Denis",Bobigny,Non trouvé,Non trouvé,Non trouvé,,
"UFR Médecine, Université Paris-Sud 11",Créteil,Non trouvé,Non trouvé,Non trouvé,,
"UFR Musique et musicologie, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"FMA - Faculté de marketing et d'agrosciences - Pôle marketing, Université de Haute Alsace Mulhouse",Colmar,Non trouvé,Non trouvé,Non trouvé,,
"UFR Faculté de chirurgie dentaire - Odontologie, Université Paris Descartes",Nanterre,Non trouvé,Non trouvé,Non trouvé,,
"UFR Mathématiques, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Mathématiques, informatique, technologies, sciences de l'information et de la communication, Université Vincennes-Saint-Denis",Bobigny,Non trouvé,Non trouvé,Non trouvé,,
"MIM - UFR Mathématiques, informatique, mécanique, Université Paul Verlaine de Metz",Metz,Non trouvé,Non trouvé,Non trouvé,,
"UFR Linguistique, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR ALL - UFR Arts, lettres et langues Nancy, Université de Lorraine",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"UFR Lettres et sciences humaines, Université Paris-Est Créteil Val-de-Marne",Créteil,Non trouvé,Non trouvé,Non trouvé,,
"MI - UFR Mathématiques et informatique - Pôle lorrain de gestion, Nancy-Université - Nancy 2",Nancy,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 27 Mathématiques et informatique,Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Mathématiques et Informatique, Université Paris Descartes",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Littérature française et comparée, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"LL - UFR Lettres et langues, Université Paul Verlaine de Metz",Metz,Non trouvé,Non trouvé,Non trouvé,,
"UFR Lettres, arts et cinéma, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Langues, Université Rennes 2",Rennes,Non trouvé,Non trouvé,Non trouvé,,
"UFR LEA - UFR Langues étrangères appliquées, Université de la Sorbonne Nouvelle",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR langues et cultures étrangères, Nancy-Université - Nancy 2",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"UFR Langues étrangères, Université d'Artois",Arras,Non trouvé,Non trouvé,Non trouvé,,
"UFR langues et civilisations, Université Bordeaux III",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR LEA - UFR Langues étrangères appliquées, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR LLCE-LEA - UFR Langues, littératures et civilisations étrangères - langues étrangères appliquées ( LLCE-LEA), Université Vincennes-Saint-Denis",Bobigny,Non trouvé,Non trouvé,Non trouvé,,
"UFR Langues et civilisations de l'Asie orientale, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR langues appliquées, commerce et communication, Université Clermont-Ferrand II",Clermont-Ferrand,Non trouvé,Non trouvé,Non trouvé,,
"UFR Latin, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Institut des sciences humaines appliquées, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 16 Institut sciences sociales du travail ISST,Nanterre,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 15 Institut d'études du développement économique et social,Créteil,Non trouvé,Non trouvé,Non trouvé,,
"UFR Italien et roumain, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 14 Institut de démographie,Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Informatique, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Ingénierie, Université Pierre et Marie Curie - UPMC",Paris,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 21 Institut de recherche et d'études supérieures de tourisme,Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Langue française, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"IRCOM - UFR Institut de recherche sur les civilisations de l'occident moderne, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"ILIS - UFR Ingénierie et Management de la santé - ILIS, Université de Lille 2",Lille,Non trouvé,Non trouvé,Non trouvé,,
"UFR Information-communication, Université Lille 3",Lille,Non trouvé,Non trouvé,Non trouvé,,
"UFR Textes et sociétés, Université Vincennes-Saint-Denis",Saint-Denis,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 09 Histoire,Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Grec, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Histoire, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR humanités, Université Bordeaux Montaigne",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR Histoire de l'art et archéologie, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 03 Histoire de l'art et archéologie,Paris,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 08 Géographie,Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Géographie histoire et sciences de la société, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR 06 Ecole de management de la Sorbonne, Université Panthéon-Sorbonne",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Etudes slaves, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 07 Etudes internationales et européennes,Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Etudes ibériques et latino-américaines, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Etudes anglophones, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR du monde anglophone, Université de la Sorbonne Nouvelle",Paris,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de droit, Université Savoie Mont Blanc",Chambéry,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'études théâtrales, Université de la Sorbonne Nouvelle",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Géographie et aménagement, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
Université Paris I Panthéon-Sorbonne - UFR 26 Etudes juridiques générales,Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'études ibériques et latino-américaines, Université de la Sorbonne Nouvelle",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'études romanes, slaves et orientales, Université Lille 3",Lille,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'études italiennes et de roumain, Université de la Sorbonne Nouvelle",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR Etudes germaniques, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"EILA - UFR Etudes interculturelles de langues appliquées, Université Paris Diderot",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR 02 Economie, Université Panthéon-Sorbonne",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'études germaniques et scandinaves université Charles de Gaulle, Université Lille 3",Lille,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'études anglophones, Université Stendhal - Grenoble 3",Grenoble,Non trouvé,Non trouvé,Non trouvé,,
"ERLAOS - UFR d'études romanes, latino-américaines, orientales et slaves, Université Aix-Marseille I",Aix-en-Provence,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'études européennes, Université de la Sorbonne Nouvelle",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR droit, Université Paris-Est Créteil Val-de-Marne",Créteil,Non trouvé,Non trouvé,Non trouvé,,
"UFR Droit, Université Vincennes-Saint-Denis",Bobigny,Non trouvé,Non trouvé,Non trouvé,,
"UFR droit, sciences politiques et sociales (cycle master), Université Panthéon-Assas",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR droit, sciences économiques et gestion - Université de Lorraine",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"UFR droit - Faculté de droit, Université Paris Descartes",Nanterre,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - UFR droit - Institut d'études judiciaires, Université Paris Descartes",Malakoff,Non trouvé,Non trouvé,Non trouvé,,
UFR droit et science politique - Université Bordeaux,Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR droit, économie, gestion et AES, Université de Bretagne Occidentale",Brest,Non trouvé,Non trouvé,Non trouvé,,
"UFR droit, économie, gestion (cycle licence) - Centre Melun, Université Panthéon-Assas",Melun,Non trouvé,Non trouvé,Non trouvé,,
"UFR Droit - Pôle licence (Ecole de droit de La Sorbonne), Université Panthéon-Sorbonne",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR droit et sciences politiques (cycle licence) (Centre Vaugirard), Université Panthéon-Assas",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'oenologie, Université Bordeaux II",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'odontologie, Université de Reims Champagne-Ardenne",Reims,Non trouvé,Non trouvé,Non trouvé,,
"UFR droit économie gestion - Faculté Jean Monnet, Université Paris-Sud 11",Sceaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR 05 Droit - Droit privé (Ecole de droit de La Sorbonne), Université Panthéon-Sorbonne",Paris,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'odontologie, Université de Nantes",Nantes,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'odontologie, Université Bordeaux II",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR droit, économie et administration, Université de Lorraine",Metz,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'informatique, Université Toulouse I Capitole",Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"ODONTO UM1 - UFR d'odontologie, Université Montpellier I",Montpellier,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'Histoire, histoire de l'art et archéologie, Université de Nantes",Nantes,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'histoire et géographie, Université d'Artois",Arras,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'odontologie université d'Auvergne, Université Clermont-Ferrand I",Clermont-Ferrand,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'odontologie, Université de Nice - Sophia Antipolis",Nice,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'odontologie, Université de Bretagne Occidentale",Quimper,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'histoire, Université de Caen Basse-Normandie",Caen,Non trouvé,Non trouvé,Non trouvé,,
"IEEA - UFR d'informatique électronique électrotechnique et automatique, Université Lille 1 - Sciences et Technologies",Lille,Non trouvé,Non trouvé,Non trouvé,,
"IDIST - UFR d'information-documentation, information scientifique et technique, Université Lille 3",Lille,Non trouvé,Non trouvé,Non trouvé,,
"SSPSD - UFR des sciences sociales pratiques sociales et développement, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences, Université Paris-Sud 11",Évry-Courcouronnes,Non trouvé,Non trouvé,Non trouvé,,
Université de Versailles Saint-Quentin-en-Yvelines - UFR des sciences,Versailles,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences - Pôle scientifique Saint Leu, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"UFR droit, science politique et gestion, Université de La Rochelle",La Rochelle,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences pharmaceutiques, Université Bordeaux II",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR d'histoire, arts et archéologie, Université Toulouse II",Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences pharmaceutiques et biologiques, Université de Bourgogne",Dijon,Non trouvé,Non trouvé,Non trouvé,,
"SJE UPVD - UFR des sciences juridiques et économiques - site de Narbonne, Université de Perpignan Via Domitia",Carcassonne,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences humaines et arts, Université de Poitiers",Poitiers,Non trouvé,Non trouvé,Non trouvé,,
"SEE UPVD - UFR des sciences exactes et expérimentales, Université de Perpignan Via Domitia",Perpignan,Non trouvé,Non trouvé,Non trouvé,,
"SJE UPVD - UFR des sciences juridiques et économiques, Université de Perpignan Via Domitia",Perpignan,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences historiques, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences et techniques, Université du Havre",Rouen,Non trouvé,Non trouvé,Non trouvé,,
UFR Sciences historiques artistiques et politiques - Université de Lille 3,Villeneuve-d'Ascq,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences et techniques, Université de Tours",Tours,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences et techniques, Université de Corse",Corte,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences et techniques (site Saint-Martin), Université de Cergy-Pontoise",Cergy,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences et techniques site du Madrillet, Université de Rouen",Rouen,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences et techniques, Université de Rouen",Rouen,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences du langage, de l'Homme et de la société, Université de Franche-Comté",Besançon,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS - UFR des sciences du sport et de l'éducation physique (STAPS), Université Bordeaux II",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences de l'Homme, Université Bordeaux",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR STAPS - UFR des sciences du sport et de l'éducation physique, Université de Rouen",Rouen,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences de la vie, Université Bordeaux II",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"UFR des sciences économiques, Université de Poitiers",Poitiers,Non trouvé,Non trouvé,Non trouvé,,
