Nom,Ville,Email,Téléphone,Site Web,Adresse,Formations
Centre universitaire La forêt - Université de Lille 2,Lille,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de Droit, d'Economie et de Gestion (Centre universitaire d'études juridiques de Bourges) - site de Bourges, Université d'Orléans",Bourges,Non trouvé,Non trouvé,Non trouvé,,
"IUP management du sport, Université de Nice - Sophia Antipolis",Nice,Non trouvé,Non trouvé,Non trouvé,,
"IUPIIA - IUP innovation en industries alimentaires, Université de Bretagne Occidentale",Quimper,Non trouvé,Non trouvé,Non trouvé,,
"IUP IS - IUP ingénierie de la santé, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"IUP banque et assurance, Université de Caen Basse-Normandie",Caen,Non trouvé,Non trouvé,Non trouvé,,
"IUP Droit de l'urbanisme et de l'immobilier, Université de Perpignan Via Domitia",Carcassonne,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences de l'Homme et de la Société, Université de Rouen",Mont-Saint-Aignan,Non trouvé,Non trouvé,Non trouvé,,
"IECA - Institut européen de cinéma et d'audiovisuel, Nancy-Université - Nancy 2",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"Institut du thermalisme, Université Bordeaux II",Mont-de-Marsan,Non trouvé,Non trouvé,Non trouvé,,
"IUG - Institut d'urbanisme de Grenoble, Université Pierre Mendès France - Grenoble 2",Grenoble,Non trouvé,Non trouvé,Non trouvé,,
"IUL - Institut d'urbanisme de Lyon, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"IMMD - Institut du marketing et du management de la distribution, Université de Lille 2",Lille,Non trouvé,Non trouvé,Non trouvé,,
"Institut du droit de la paix et du développement, Université de Nice - Sophia Antipolis",Nice,Non trouvé,Non trouvé,Non trouvé,,
"IEP - Institut d'études politiques (Sciences Po Grenoble), Université Grenoble Alpes (COMUE)",Grenoble,Non trouvé,Non trouvé,Non trouvé,,
"Institut d'urbanisme de Paris, Université Paris-Est Créteil Val-de-Marne",Créteil,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"DEJEP - Département d'études juridiques et économiques de Périgueux, Université de Bordeaux",Périgueux,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université Grenoble Alpes (COMUE)",Grenoble,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université Pau et Pays de l'Adour",Pau,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université Rennes 1",Rennes,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université Jean Moulin - Lyon 3",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université Panthéon-Assas",Paris,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université Panthéon-Sorbonne",Paris,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université de Valenciennes et du Hainaut Cambrésis",Lille,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université d'Evry-Val-d'Essonne",Évry-Courcouronnes,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université de Nantes",Nantes,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université de Limoges",Limoges,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université de Cergy-Pontoise",Cergy,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université de Caen Basse-Normandie",Caen,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université Bordeaux",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires - UFR de Droit de Toulon, Université de Toulon",Toulon,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires - Faculté sciences juridiques politiques, Université de Lille 2",Lille,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université de Reims Champagne-Ardenne",Reims,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université de Rouen",Rouen,Non trouvé,Non trouvé,Non trouvé,,
"Institut d'études judiciaires - Faculté de Droit, sciences politiques, économie et gestion, Université de Nice - Sophia Antipolis",Nice,Non trouvé,Non trouvé,Non trouvé,,
"IEJ - Institut d'études judiciaires, Université de Lorraine",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"Institut d'études européennes, Université Vincennes-Saint-Denis",Bobigny,Non trouvé,Non trouvé,Non trouvé,,
